City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Sri Vijaya Puram,Poor,282,"PM
2.5",1/1,Andaman and Nicobar Islands
Baghpat,Poor,258,"PM
10",1/2,Uttar Pradesh
Gurugram,Poor,250,"PM
10",1/4,Haryana
Bulandshahr,Poor,220,"PM
10",1/1,Uttar Pradesh
Delhi,Poor,215,"PM
10",36/39,Delhi
Rajgir,Poor,211,"PM
2.5",1/1,Bihar
Mandi Gobindgarh,Poor,204,"PM
2.5",1/1,Punjab
Baddi,Moderate,190,"PM
10",1/1,Himachal Pradesh
Chandigarh,Moderate,188,"O , PM
3 2.5",3/3,Chandigarh
Hanumangarh,Moderate,178,"PM
10",1/1,Rajasthan
Lucknow,Moderate,174,"PM
2.5",5/6,Uttar Pradesh
Noida,Moderate,173,"PM
10",4/4,Uttar Pradesh
Muzaffarnagar,Moderate,168,"PM
2.5",1/1,Uttar Pradesh
Ghaziabad,Moderate,165,"PM
10",4/4,Uttar Pradesh
Hajipur,Moderate,164,"PM
2.5",1/1,Bihar
Meerut,Moderate,162,"PM
10",3/3,Uttar Pradesh
Dholpur,Moderate,161,"PM
10",1/1,Rajasthan
Katni,Moderate,156,"O
3",1/1,Madhya Pradesh
Amritsar,Moderate,155,CO,1/1,Punjab
Dausa,Moderate,155,"PM
10",1/1,Rajasthan
Samastipur,Moderate,153,"PM
10",1/1,Bihar
Sawai Madhopur,Moderate,152,"PM
10",1/1,Rajasthan
Hapur,Moderate,150,"O
3",1/1,Uttar Pradesh
Greater Noida,Moderate,148,"PM
10",2/2,Uttar Pradesh
Jabalpur,Moderate,147,"PM , PM
10 2.5",4/4,Madhya Pradesh
Gwalior,Moderate,146,"PM , PM
10 2.5",3/4,Madhya Pradesh
Singrauli,Moderate,146,"PM
10",1/1,Madhya Pradesh
Kishanganj,Moderate,145,"PM
10",1/1,Bihar
Khurja,Moderate,143,"PM
10",1/1,Uttar Pradesh
Patna,Moderate,143,"O , PM
3 2.5",5/6,Bihar
Jalandhar,Moderate,136,"PM
10",1/1,Punjab
Visakhapatnam,Moderate,136,"PM
10",1/1,Andhra Pradesh
Jaipur,Moderate,134,"PM , O
10 3",5/6,Rajasthan
Bhiwadi,Moderate,134,"PM , PM
10 2.5",2/2,Rajasthan
Jhunjhunu,Moderate,134,"PM
10",1/1,Rajasthan
Churu,Moderate,133,"PM
10",1/1,Rajasthan
Bharatpur,Moderate,133,"PM
10",1/1,Rajasthan
Byrnihat,Moderate,128,"PM
2.5",1/1,Meghalaya
Sri Ganganagar,Moderate,128,"PM
10",1/1,Rajasthan
Nagaur,Moderate,126,"PM
10",1/1,Rajasthan
Sasaram,Moderate,126,"PM
2.5",1/1,Bihar
Sikar,Moderate,125,"PM
10",1/1,Rajasthan
Patiala,Moderate,124,"PM
10",1/1,Punjab
Bathinda,Moderate,124,"PM
2.5",1/1,Punjab
Pali,Moderate,123,"PM
10",1/1,Rajasthan
Jaisalmer,Moderate,123,"PM
10",1/1,Rajasthan
Korba,Moderate,122,"PM
10",2/2,Chhattisgarh
Saharsa,Moderate,122,"PM
10",1/1,Bihar
Angul,Moderate,121,"PM
2.5",1/1,Odisha
Ludhiana,Moderate,120,"PM
2.5",1/1,Punjab
Dehradun,Moderate,120,"PM
10",1/1,Uttarakhand
Kanpur,Moderate,119,"PM , PM
10 2.5",3/4,Uttar Pradesh
Motihari,Moderate,118,"PM
10",1/1,Bihar
Jalna,Moderate,117,"PM
2.5",1/1,Maharashtra
Agra,Moderate,116,"PM
10",6/6,Uttar Pradesh
Bundi,Moderate,115,"PM
10",1/1,Rajasthan
Milupara,Moderate,115,"PM
10",1/1,Chhattisgarh
Chhapra,Moderate,114,"NO
2",1/1,Bihar
Tonk,Moderate,113,"PM
10",1/1,Rajasthan
Ratlam,Moderate,113,"PM
10",1/1,Madhya Pradesh
Barmer,Moderate,113,"PM
10",1/1,Rajasthan
Tumidih,Moderate,112,"PM
10",1/1,Chhattisgarh
Karauli,Moderate,110,"PM
10",1/1,Rajasthan
Udaipur,Moderate,110,"PM
10",1/1,Rajasthan
Rishikesh,Moderate,109,"PM
10",1/1,Uttarakhand
Prayagraj,Moderate,109,"PM
10",3/3,Uttar Pradesh
Bhagalpur,Moderate,108,"PM
10",1/2,Bihar
Baran,Moderate,107,"PM
10",1/1,Rajasthan
Bhopal,Moderate,107,"PM
10",2/3,Madhya Pradesh
Vapi,Moderate,107,"PM
10",1/1,Gujarat
Kota,Moderate,106,"PM , PM
10 2.5",3/3,Rajasthan
Gaya,Moderate,105,"PM , PM
10 2.5",3/3,Bihar
Bikaner,Moderate,104,"PM
10",1/1,Rajasthan
Jhansi,Moderate,104,"PM
10",1/1,Uttar Pradesh
Bhiwandi,Moderate,103,"PM
10",1/1,Maharashtra
Durgapur,Moderate,102,"PM
10",2/3,West Bengal
Barbil,Moderate,101,"PM
10",1/1,Odisha
Guwahati,Moderate,101,"PM , O , SO
10 3 2",3/4,Assam
Kalyan,Satisfactory,100,"PM
10",2/2,Maharashtra
Buxar,Satisfactory,100,"PM
10",1/1,Bihar
