city,lat,long,state,date
Aizawl,23.7307175,92.71731059999999,Mizoram,20251019
Belgaum,15.8608974,74.5129177,Karnataka,20251019
Bidar,17.9103939,77.51990789999999,Karnataka,20251019
Byrnihat,26.0515133,91.8696411,Meghalaya,20251019
Chikkaballapur,13.4354985,77.7315344,Karnataka,20251019
Darbhanga,26.1542045,85.8918454,Bihar,20251019
Dharwad,15.4589236,75.007808,Karnataka,20251019
Eloor,10.0669103,76.2989896,Kerala,20251019
Ernakulam,9.9816358,76.2998842,Kerala,20251019
Gadag,15.4315406,75.63551489999999,Karnataka,20251019
Hassan,13.0752578,76.17837390000001,Karnataka,20251019
Hisar,29.1491875,75.7216527,Haryana,20251019
Imphal,24.8107515,93.9386097,Manipur,20251019
Jorapokhar,23.7040629,86.4136687,Jharkhand,20251019
Kadapa,14.4673154,78.8242089,Andhra Pradesh,20251019
Kochi,9.9312328,76.26730409999999,Kerala,20251019
Kolar,13.1770316,78.2020387,Karnataka,20251019
Koppal,15.3504652,76.1567298,Karnataka,20251019
Kozhikode,11.2488425,75.78392099999999,Kerala,20251019
Mangalore,12.8854777,74.8388112,Karnataka,20251019
Pathardih,23.6688732,86.433914,Jharkhand,20251019
Raichur,16.2047877,77.3552519,Karnataka,20251019
Sagar,23.9259385,78.8382644,Madhya Pradesh,20251019
Saharsa,25.8773651,86.5927887,Bihar,20251019
Sri vijaya puram,11.6233774,92.7264828,Andaman and Nicobar Islands,20251019
Srinagar,34.0836708,74.7972825,,20251019
Suakati,21.6043925,85.5161612,Odisha,20251019
Tirunelveli,8.715017999999999,77.765628,Tamil Nadu,20251019
Tirupati,13.6287557,79.4191795,Andhra Pradesh,20251019
Tumakuru,13.3378762,77.117325,Karnataka,20251019
Tumidih,22.0585051,83.344206,Chhattisgarh,20251019
Udupi,13.3439188,74.74745039999999,Karnataka,20251019
Ujjain,23.1764665,75.7885163,Madhya Pradesh,20251019
Visakhapatnam,17.6868159,83.2184815,Andhra Pradesh,20251019
Yadgir. Note,16.7625516,77.1442251,Karnataka,20251019
