city,lat,long,state,date
AMARAVATI,16.514,80.516,Andhra Pradesh,20260825
ARIYALUR,0,0,,20260825
BAGALKOT,16.18673,75.69614,Karnataka,20260825
BARAUT,29.10199,77.26334,Uttar Pradesh,20260825
BAREILLY,0,0,Uttar Pradesh,20260825
BIDAR,0,77.51524,Karnataka,20260825
BIHAR SHARIF,25.20084,85.52389,Bihar,20260825
BILEIPADA,0,0,,20260825
BUXAR,25.57548,83.98043,Bihar,20260825
BYRNIHAT-MEGHALAYA,0,0,,20260825
CHENGALPATTU,12.69184,79.97661,Tamil Nadu,20260825
CHIKKABALLAPUR,0,0,,20260825
COIMBATORE,11.00555,76.96612,Tamil Nadu,20260825
DARBHANGA,0,0,,20260825
DAUSA,0,76.33584,Rajasthan,20260825
DAVANAGERE,0,0,,20260825
DHANBAD,23.79759,86.42992,Jharkhand,20260825
DINDIGUL,0,77.98036,Tamil Nadu,20260825
ERNAKULAM,0,0,,20260825
GANGTOK,27.32574,88.61216,Sikkim,20260825
HASSAN,0,0,Karnataka,20260825
HAVERI,0,75.40448,Karnataka,20260825
HOSUR,12.73647,77.83264,Tamil Nadu,20260825
IMPHAL,24.80805,93.9442,Manipur,20260825
JALNA,19.84102,75.88636,Maharashtra,20260825
JORAPOKHAR,22.41141,85.76497,Jharkhand,20260825
KANCHIPURAM,0,0,,20260825
KARUR,10.95771,78.08095,Tamil Nadu,20260825
KASHIPUR,29.21399,78.95693,Uttarakhand,20260825
KEONJHAR,21.6318,85.59686,Odisha,20260825
KISHANGANJ,0,87.95534,Bihar,20260825
KOCHI,0,0,,20260825
KOLAR,13.13768,78.12999,Karnataka,20260825
KOLLAM,0,0,,20260825
KOPPAL,15.34522,76.15478,Karnataka,20260825
KOZHIKODE,11.24802,75.7804,Kerala,20260825
KUNJEMURA,0,0,,20260825
LUDHIANA,0,75.85379,Punjab,20260825
MADIKERI,12.42602,75.7382,Karnataka,20260825
MADURAI,9.919,78.11953,Tamil Nadu,20260825
MANGALORE,0,0,Karnataka,20260825
MILUPARA,22.18205,83.51923,Chhattisgarh,20260825
MUNGER,0,0,Bihar,20260825
NAGAPATTINAM,10.76377,79.84313,Tamil Nadu,20260825
NAMAKKAL,0,0,Tamil Nadu,20260825
NAYAGARH,20.12882,85.09626,Odisha,20260825
OOTY,11.4134,76.69521,Tamil Nadu,20260825
PALKALAIPERUR,0,0,,20260825
PATHARDIH,23.6658,86.43166,Jharkhand,20260825
PERUNDURAI,11.27564,77.58794,Tamil Nadu,20260825
PUDUKOTTAI,12.50157,78.59045,Tamil Nadu,20260825
RAEBARELI,26.2309,81.23315,Uttar Pradesh,20260825
RAICHUR,16.20546,77.35567,Karnataka,20260825
RAIRANGPUR,22.26675,86.17385,Odisha,20260825
RAJGIR,0,85.42079,Bihar,20260825
RAMANATHAPURAM,0,0,Tamil Nadu,20260825
RANIPET,0,0,Tamil Nadu,20260825
SALEM,11.65376,78.15538,Tamil Nadu,20260825
SHILLONG,0,0,Meghalaya,20260825
SINGRAULI,24.19973,82.67535,Madhya Pradesh,20260825
SRI VIJAYA PURAM,0,0,,20260825
SUAKATI,21.6143,85.51543,Odisha,20260825
THANJAVUR,10.78523,79.13909,Tamil Nadu,20260825
TIRUCHIRAPPALLI,10.8155,78.69651,Tamil Nadu,20260825
TIRUNELVELI,8.72742,77.6838,Tamil Nadu,20260825
TIRUPUR,11.11541,77.35456,Tamil Nadu,20260825
TUMAKURU,13.34136,77.1022,Karnataka,20260825
TUMIDIH,0,0,Chhattisgarh,20260825
UDUPI,13.33467,74.74617,Karnataka,20260825
VELLORE,12.9184,79.13255,Tamil Nadu,20260825
VIJAYAPURA,0,0,,20260825
VIRUDHUNAGAR Notes,0,0,,20260825
